Id,Label,x,y,pixel_x,pixel_y
353,marker_D5,381.50,243.45,2421.50,1085.55
354,marker_C2,-71.39,-257.95,1968.61,1586.95
355,marker_F4,261.08,-276.56,2301.08,1605.56
356,marker_L3,-124.50,134.03,1915.50,1194.97
357,marker_H1(?),-27.18,123.92,2012.82,1205.08
358,Node 358,-350.51,145.82,1689.49,1183.18
359,Node 359,-351.01,166.83,1688.99,1162.17
360,Node 360,-385.27,164.33,1654.73,1164.67
361,marker_M5,-238.22,-108.37,1801.78,1437.37
362,marker_N3,-115.43,-55.03,1924.57,1384.03
363,marker_M3,-126.01,-17.56,1913.99,1346.56
364,marker_??4,-66.66,-69.61,1973.34,1398.61
365,marker_B2,-1270.36,251.35,769.64,1077.65
366,marker_C5,-1389.79,263.69,650.21,1065.31
367,marker_K2,-101.83,47.11,1938.17,1281.89
368,marker_53,698.36,-49.10,2738.36,1378.10
369,marker_D7,717.92,-333.15,2757.92,1662.15
370,marker_D8,672.27,-265.88,2712.27,1594.88
371,marker_67,-144.18,30.27,1895.82,1298.73
372,marker_16,-771.79,-524.80,1268.21,1853.80
373,marker_17,-574.67,-348.71,1465.33,1677.71
374,marker_A5,-932.88,-81.97,1107.12,1410.97
375,marker_A18,-1055.29,-96.28,984.71,1425.28
376,marker_G4,-1656.63,19.35,383.37,1309.65
377,marker_I2,-5.09,473.27,2034.91,855.73
378,marker_?C?,25.79,-263.34,2065.79,1592.34
379,marker_F5,-178.45,-385.82,1861.55,1714.82
380,marker_J2,-59.99,-391.74,1980.01,1720.74
381,marker_J1,-338.30,25.93,1701.70,1303.07
