Nr. Obwodu,Adres biura komisji i lokalu wyborczego,Miescowosci (ulice) wchodzace w sklad obwodu,Photo of building on this street,North,East
9,lokal szkoly powszechnej ul. Koszykowa,Nasypowa,,,
9,lokal szkoly powszechnej ul. Koszykowa,Polna,,,
9,lokal szkoly powszechnej ul. Koszykowa,Miodowa,,,
9,lokal szkoly powszechnej ul. Koszykowa,Poleska do Powurskiej,,,
9,lokal szkoly powszechnej ul. Koszykowa,Zielona,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,ul. Powurska,," 51°13'4.90""N"," 24°44'1.15""E"
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Lisa Kuli,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Topolowa,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Wierzbowa,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Torowa,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Brzozowa,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Szeroka,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Narożna,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Miła,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Wąska,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Jaworowa,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Prosta,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Poleska od Powurskiej,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Obwodowa i Okrzei,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,1-go Maja,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Waligórskiego,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Wrzosowa,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Wielka,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Tranzyt Sarny,,,
10,lokal szkoly powszechnej ul. Nr.5 ul. Topolowa,Parkowa,,,
